date,post-name,r-title,r-url,a-title,a-url,d-title,d-url,notes
2024-03-12,"Tue, Mar 12",Melody and phrasing,https://viva.pressbooks.pub/openmusictheory/chapter/melody-and-phrasing/,Section structures,https://viva.pressbooks.pub/openmusictheory/chapter/melody-and-phrasing/#assignments,Optional bebop composition revisions,https://viva.pressbooks.pub/openmusictheory/chapter/jazz-embellishing-chords/#assignments,
2024-03-14,"Thu, Mar 14",Verse-chorus form,https://viva.pressbooks.pub/openmusictheory/chapter/verse-chorus-form/,Listening to pop forms,https://viva.pressbooks.pub/openmusictheory/chapter/verse-chorus-form/#assignments,Section structures,https://viva.pressbooks.pub/openmusictheory/chapter/melody-and-phrasing/#assignments,
2024-03-19,"Tue, Mar 19",AABA form and strophic form,https://viva.pressbooks.pub/openmusictheory/chapter/aaba-and-strophic-form/,AABA Form and Strophic Form,https://viva.pressbooks.pub/openmusictheory/chapter/aaba-and-strophic-form/#assignments,Listening to pop forms,https://viva.pressbooks.pub/openmusictheory/chapter/verse-chorus-form/#assignments,[Upload PNGs of your form charts here](https://gmuedu-my.sharepoint.com/:f:/g/personal/mlavengo_gmu_edu/EjtuCHkVt-5Eq1xx1VdLxCoBUJm0TTi4m8UCqNa1QpQQMw).
2024-03-21,"Thu, Mar 21",Rhythm and Meter in Pop Music,https://viva.pressbooks.pub/openmusictheory/chapter/rhythm-and-meter-in-pop-music/,Transcribing rhythms,https://viva.pressbooks.pub/openmusictheory/chapter/rhythm-and-meter-in-pop-music/#assignments,AABA Form and Strophic Form,https://viva.pressbooks.pub/openmusictheory/chapter/aaba-and-strophic-form/#assignments,
2024-03-26,"Tue, Mar 26",4-chord schemas,https://viva.pressbooks.pub/openmusictheory/chapter/4-chord-schemas/,Variations on 4-chord schemas,https://viva.pressbooks.pub/openmusictheory/chapter/4-chord-schemas/#assignments,Transcribing rhythms,https://viva.pressbooks.pub/openmusictheory/chapter/rhythm-and-meter-in-pop-music/#assignments,FYI: This is “holy week” so I am extra busy with my church gig.
2024-03-28,"Thu, Mar 28","More schemas (Puff, Classical, Blues-based)",https://viva.pressbooks.pub/openmusictheory/chapter/intro-to-pop-schemas/,Identifying schemas,https://viva.pressbooks.pub/openmusictheory/chapter/intro-to-pop-schemas/#assignments,Variations on 4-chord schemas,https://viva.pressbooks.pub/openmusictheory/chapter/4-chord-schemas/#assignments,FYI: This is “holy week” so I am extra busy with my church gig.
2024-04-02,"Tue, Apr 2",Modal schemas,https://viva.pressbooks.pub/openmusictheory/chapter/modal-schemas/,Two worksheets: Identifying Modal Schemas and Modal reharmonization composition exercise,https://viva.pressbooks.pub/openmusictheory/chapter/modal-schemas/#assignments,Identifying schemas,https://viva.pressbooks.pub/openmusictheory/chapter/intro-to-pop-schemas/#assignments,
2024-04-04,"Thu, Apr 4",No class—out of town,https://viva.pressbooks.pub/openmusictheory/chapter/modal-schemas/,Two worksheets: Identifying Modal Schemas and Modal reharmonization composition exercise,https://viva.pressbooks.pub/openmusictheory/chapter/modal-schemas/#assignments,,,
2024-04-09,"Tue, Apr 9","Fragile, Absent, and Emergent Tonics",https://viva.pressbooks.pub/openmusictheory/chapter/fragile-absent-and-emergent-tonics/,Reharmonizing to avoid tonic,https://viva.pressbooks.pub/openmusictheory/chapter/fragile-absent-and-emergent-tonics#assignments,Two worksheets: Identifying Modal Schemas and Modal reharmonization composition exercise,https://viva.pressbooks.pub/openmusictheory/chapter/modal-schemas/#assignments,
2024-04-11,"Thu, Apr 11",Drumbeats,https://viva.pressbooks.pub/openmusictheory/chapter/drumbeats/,Drumbeats,https://viva.pressbooks.pub/openmusictheory/chapter/drumbeats/#assignments,Reharmonizing to avoid tonic,https://viva.pressbooks.pub/openmusictheory/chapter/fragile-absent-and-emergent-tonics#assignments,
2024-04-16,"Tue, Apr 16",Texture in pop music,https://viva.pressbooks.pub/openmusictheory/chapter/texture-in-pop-music/,Visualizing Texture,https://viva.pressbooks.pub/openmusictheory/chapter/texture-in-pop-music#assignments,Drumbeats,https://viva.pressbooks.pub/openmusictheory/chapter/drumbeats/#assignments,
2024-04-18,"Thu, Apr 18",Text Setting in Pop Music,http://martiandances.com/text.pdf,Text Setting in Pop Music,https://viva.pressbooks.pub/app/uploads/sites/12/2024/01/WK-text-setting.pdf,Visualizing Texture,https://viva.pressbooks.pub/openmusictheory/chapter/texture-in-pop-music#assignments,"[Upload an image of your analysis here](https://gmuedu-my.sharepoint.com/:f:/g/personal/mlavengo_gmu_edu/EjtuCHkVt-5Eq1xx1VdLxCoBUJm0TTi4m8UCqNa1QpQQMw). We will use the discussion questions for in-class discussion (i.e., you won’t turn that in)."
2024-04-23,"Tue, Apr 23",Songwriting project workshop,,Songwriting composition project,https://gmuedu-my.sharepoint.com/:b:/g/personal/mlavengo_gmu_edu/Ecu9DjxumaJHlsIwz8b-Pl4BVglynGzMpofEH-p44X7Zdg?e=yj2nXD,Text Setting in Pop Music,https://viva.pressbooks.pub/app/uploads/sites/12/2024/01/WK-text-setting.pdf,"bring laptops today! Next class, we will share compositions. Bring your instruments or your recordings!"
2024-04-25,"Thu, Apr 25",Performance day,,Songwriting composition project,https://gmuedu-my.sharepoint.com/:b:/g/personal/mlavengo_gmu_edu/Ecu9DjxumaJHlsIwz8b-Pl4BVglynGzMpofEH-p44X7Zdg?e=yj2nXD,None—work on your compositions!,https://gmuedu-my.sharepoint.com/:b:/g/personal/mlavengo_gmu_edu/Ecu9DjxumaJHlsIwz8b-Pl4BVglynGzMpofEH-p44X7Zdg?e=yj2nXD,We are sharing compositions. Bring your instruments or your recordings!
2024-04-30,"Wed, May 1<br/>Finals week",,,,,Songwriting composition project,https://gmuedu-my.sharepoint.com/:b:/g/personal/mlavengo_gmu_edu/Ecu9DjxumaJHlsIwz8b-Pl4BVglynGzMpofEH-p44X7Zdg?e=yj2nXD,Submit your song by May 1 to be eligible for revisions. 
2024-05-02,"Tue, May 7<br/>Finals week",,,,,Songwriting composition project,https://gmuedu-my.sharepoint.com/:b:/g/personal/mlavengo_gmu_edu/Ecu9DjxumaJHlsIwz8b-Pl4BVglynGzMpofEH-p44X7Zdg?e=yj2nXD,All coursework must be submitted by May 7. This is a **hard deadline.**
